Searching for double matches between wifi.json and lan.json
[63] {'id0': 16588, 'id1': 1005095, 'dist': 5.773916331064343}
[64] {'id0': 55449, 'id1': 1002732, 'dist': 6.106648904624267}
[65] {'id0': 34435, 'id1': 35695, 'dist': 6.241499277985741}
[66] {'id0': 50532, 'id1': 33670, 'dist': 6.323178453467563}
[67] {'id0': 16790, 'id1': 12938, 'dist': 6.351558184960683}
[68] {'id0': 1001615, 'id1': 35695, 'dist': 6.404175248938262}
[69] {'id0': 1002849, 'id1': 53709, 'dist': 6.477221018056776}
[70] {'id0': 30626, 'id1': 23635, 'dist': 6.517925297829809}
[71] {'id0': 31866, 'id1': 1000793, 'dist': 6.9374514663648235}
[72] {'id0': 28260, 'id1': 53441, 'dist': 7.496368076458098}
[73] {'id0': 1000879, 'id1': 55675, 'dist': 7.68327320610785}
[74] {'id0': 35385, 'id1': 34182, 'dist': 7.835118983676561}
[75] {'id0': 63070, 'id1': 10422, 'dist': 7.870571516004149}
[76] {'id0': 52413, 'id1': 55675, 'dist': 7.873133393106027}
[77] {'id0': 1004571, 'id1': 1313, 'dist': 8.245605127572723}
[78] {'id0': 26320, 'id1': 916, 'dist': 8.293414929600313}
[79] {'id0': 50081, 'id1': 916, 'dist': 8.497247246023388}
[80] {'id0': 25993, 'id1': 916, 'dist': 8.508059005959051}
[81] {'id0': 54532, 'id1': 52004, 'dist': 8.540286381348587}
[82] {'id0': 53821, 'id1': 2089, 'dist': 8.772882627798975}
[83] {'id0': 689, 'id1': 1002772, 'dist': 8.880558292878872}
[84] {'id0': 1003746, 'id1': 20047, 'dist': 8.958984639379867}
[85] {'id0': 28761, 'id1': 1005108, 'dist': 9.049482176808395}
[86] {'id0': 1002591, 'id1': 61879, 'dist': 9.092362972795897}
[87] {'id0': 1002421, 'id1': 1002576, 'dist': 9.752756445781145}
[88] {'id0': 21950, 'id1': 1001622, 'dist': 10.347598461700773}
[89] {'id0': 51459, 'id1': 33502, 'dist': 10.65780680789285}
[90] {'id0': 60313, 'id1': 54276, 'dist': 11.254990460287749}
[91] {'id0': 18667, 'id1': 19966, 'dist': 11.868182192918585}
[92] {'id0': 27989, 'id1': 52898, 'dist': 12.049051468542235}
[93] {'id0': 61868, 'id1': 51754, 'dist': 12.504599498669911}
[94] {'id0': 55495, 'id1': 24490, 'dist': 12.644788843825175}
[95] {'id0': 61689, 'id1': 3054, 'dist': 12.830371012774885}
[96] {'id0': 60435, 'id1': 10540, 'dist': 12.970738721761094}
[97] {'id0': 25262, 'id1': 29211, 'dist': 13.216758329948323}
[98] {'id0': 60605, 'id1': 10540, 'dist': 13.393065385601414}
[99] {'id0': 1003425, 'id1': 14784, 'dist': 13.873891987528767}
[100] {'id0': 51136, 'id1': 55315, 'dist': 14.027497836399212}
[101] {'id0': 26869, 'id1': 24551, 'dist': 16.224244943793856}
[102] {'id0': 29793, 'id1': 22203, 'dist': 16.493280322205354}
[103] {'id0': 1003519, 'id1': 1005255, 'dist': 16.57059188996805}
[104] {'id0': 11170, 'id1': 51090, 'dist': 16.657216310720205}
[105] {'id0': 1003159, 'id1': 20187, 'dist': 16.97778577609504}
[106] {'id0': 55005, 'id1': 52082, 'dist': 17.855806045031116}
[107] {'id0': 52731, 'id1': 24355, 'dist': 20.22890525857224}
[108] {'id0': 27955, 'id1': 378, 'dist': 21.16210415965081}
[109] {'id0': 62382, 'id1': 60455, 'dist': 21.22742440261705}
[110] {'id0': 50719, 'id1': 22296, 'dist': 21.537037580900105}
[111] {'id0': 22394, 'id1': 55138, 'dist': 21.754349265112616}
[112] {'id0': 1002522, 'id1': 28716, 'dist': 22.250793884578062}
[113] {'id0': 50736, 'id1': 52082, 'dist': 22.72991519474138}
[114] {'id0': 1005061, 'id1': 53771, 'dist': 23.951439355647878}
[115] {'id0': 1002626, 'id1': 28597, 'dist': 24.33496633752735}
[116] {'id0': 29550, 'id1': 20560, 'dist': 25.732488372584022}
[117] {'id0': 52772, 'id1': 1003835, 'dist': 26.317306265745245}
[118] {'id0': 26831, 'id1': 19793, 'dist': 26.5881401793061}
[119] {'id0': 16827, 'id1': 1003793, 'dist': 26.632574284918704}
[120] {'id0': 17789, 'id1': 1004774, 'dist': 28.708248966773727}
[121] {'id0': 33717, 'id1': 1005095, 'dist': 30.32565779599473}
[122] {'id0': 12165, 'id1': 20299, 'dist': 30.689088879583167}
[123] {'id0': 53760, 'id1': 21565, 'dist': 32.47801930908517}
[124] {'id0': 14536, 'id1': 55248, 'dist': 33.19290149243655}
[125] {'id0': 3601, 'id1': 3732, 'dist': 33.469774683501775}
