,Cellular,Lan,Dist,Lan Avg,Continent,Datacenter,Cellular Avg,Diff
136,1002316,2754,100.99548946542136,73.37282390467648,EU,GOOGLE,214.51658471808193,141.14376081340544
137,1002274,2754,101.21021588943704,73.37282390467648,EU,GOOGLE,214.51658471808193,141.14376081340544
138,18565,55661,108.7577584865752,38.83396560935684,EU,GOOGLE,106.0091815625,67.17521595314317
139,61816,86,140.35823451703527,65.61223596099042,NA,GOOGLE,102.3759928789442,36.763756917953785
140,27296,53723,158.4389047743558,30.29182985496947,EU,GOOGLE,38.68160533333579,8.389775478366317
141,1004198,34707,245.81579623412208,35.345974414034735,EU,GOOGLE,84.26407145108804,48.91809703705331
142,33824,1000799,279.1433955080453,87.22987599649333,AS,GOOGLE,103.95960623509055,16.729730238597213
143,32473,55785,322.1257508852746,100.5890528931912,EU,GOOGLE,356.94083432795156,256.35178143476037
144,4893,33013,510.6546541127197,211.71160487789675,ME,GOOGLE,204.38777331754525,-7.323831560351493
145,1000503,1000505,0.111195080233243,16.55843597894842,EU,AMAZON,27.64562058596526,11.087184607016841
146,1002075,33973,0.111195080233243,14.30355736841965,EU,AMAZON,10.690324719293683,-3.613232649125967
147,61321,2353,0.1295006554852492,49.980921921985455,EU,AMAZON,40.59946096842211,-9.381460953563348
148,1004854,61376,0.132981162921137,20.587152850292632,EU,AMAZON,51.66584350877053,31.078690658477896
149,60200,61071,0.204606227414801,45.91384549590561,EU,AMAZON,30.51689791228316,-15.396947583622453
150,1004212,55744,0.2055738139134719,29.990995320467015,NA,AMAZON,70.98269397017789,40.99169864971088
151,60822,62226,0.2223901604671934,69.82458208655194,NA,AMAZON,101.92892078947685,32.104338702924906
152,1002904,62730,0.228628444177892,36.46151117193333,EU,AMAZON,63.11733187017053,26.6558206982372
153,1003040,1003035,0.2377472804843163,47.301342365454175,NA,AMAZON,59.60941259649054,12.308070231036368
154,13308,24645,0.2627948948061695,22.793081148538597,EU,AMAZON,40.46885703508948,17.67577588655088
155,1005104,61071,0.302190684893274,45.91384549590561,EU,AMAZON,30.51689791228316,-15.396947583622453
156,50180,55487,0.3335852407004365,33.157239785965615,NA,AMAZON,116.23623207719052,83.0789922912249
157,50640,50639,0.451146562610199,14.569884190644913,EU,AMAZON,35.087719638888544,20.51783544824363
158,15651,19461,0.6129906362443229,48.61424935446268,EU,AMAZON,27.26316962807263,-21.351079726390047
159,1004967,34601,0.6242683339903901,22.65027109766351,EU,AMAZON,12.193948164917895,-10.456322932745614
160,54028,22029,0.6265891931099812,17.24552088187053,EU,AMAZON,37.685744164908414,20.440223283037884
161,1002318,15637,0.6455204636624059,12.465009180117194,EU,AMAZON,9.037223218390805,-3.4277859617263893
162,23036,33018,0.7663500434391671,36.045258599997894,NA,AMAZON,125.99423841135214,89.94897981135425
163,50612,21228,0.7819994793999931,33.083923760925,EU,AMAZON,39.7377086807,6.653784919774999
164,12279,35667,1.0007557221006025,34.204025703298534,EU,AMAZON,25.182112336994503,-9.02191336630403
165,55293,15831,1.0220712877176494,19.75895641403263,EU,AMAZON,58.696968003505255,38.93801158947262
166,17151,53245,1.1458461837861171,15.350368034502804,EU,AMAZON,17.741076715788424,2.39070868128562
167,50705,55456,1.25182437133982,15.798591721053334,EU,AMAZON,44.91671656139788,29.118124840344542
168,24555,1000306,1.308890887632018,1.690657738011579,EU,AMAZON,11.733468319297897,10.042810581286318
169,63015,31945,1.6611225481412497,18.246697443274037,EU,AMAZON,22.730920175440005,4.484222732165968
170,14895,31945,1.87386613807248,18.246697443274037,EU,AMAZON,22.730920175440005,4.484222732165968
171,2659,560,1.8804954005235612,33.17670635915458,EU,AMAZON,15.72256416491263,-17.45414219424195
172,4788,33512,2.003289909510072,106.49417712186307,OC,AMAZON,115.52403439298212,9.029857271119042
173,11824,54572,2.033370297881184,34.665045099178165,EU,AMAZON,36.02690672982632,1.361861630648157
174,33318,55223,2.3041893114452185,44.89120839298,EU,AMAZON,73.43458819298526,28.543379800005262
175,26705,33915,2.3103222829231203,21.38235606783684,EU,AMAZON,17.63264345964842,-3.749712608188421
176,62684,20374,2.368200881725105,9.595255306663999,AS,AMAZON,6.78376098947263,-2.811494317191369
177,21286,21274,2.393640014123047,21.764597094737542,EU,AMAZON,18.293502992974734,-3.4710941017628087
178,50024,55223,2.4572760462540333,44.89120839298,EU,AMAZON,73.43458819298526,28.543379800005262
179,16715,1004923,2.5267103045881245,18.954966837425967,EU,AMAZON,42.486146800003155,23.531179962577188
180,55795,61071,2.558690951841053,45.91384549590561,EU,AMAZON,30.51689791228316,-15.396947583622453
181,35445,35643,2.8343864817226088,29.811299910690565,EU,AMAZON,66.67529337234257,36.863993461652
182,35462,35643,2.9030402966040234,29.811299910690565,EU,AMAZON,66.67529337234257,36.863993461652
183,28477,55685,2.925694641265732,47.94561616023544,OC,AMAZON,44.88773451578841,-3.057881644447029
184,450,26175,3.272763902820789,37.56029724093895,EU,AMAZON,49.61246980952418,12.052172568585227
185,1004094,16505,3.327381087042584,10.325786837425614,EU,AMAZON,136.97965334065495,126.65386650322934
186,1002225,27273,3.4117254188128188,36.854688707604915,OC,AMAZON,50.38661798246106,13.531929274856147
187,34612,60922,3.460219717631613,24.31449021988456,EU,AMAZON,33.14359993684211,8.829109716957547
188,1000483,25698,3.83065939979531,26.18259726081649,EU,AMAZON,21.280404357893683,-4.902192902922806
189,62047,13106,3.9247915682586494,20.025372223391578,EU,AMAZON,39.152229787716834,19.126857564325256
190,54146,52512,3.945396391523214,86.76655855052195,EU,AMAZON,85.10597608510531,-1.6605824654166383
191,55018,50972,4.0303118981581685,41.28745593567123,NA,AMAZON,48.86522063860001,7.577764702928775
192,3333,1003123,4.238893970131637,13.859961534503508,EU,AMAZON,31.097538237320652,17.237576702817144
193,1005126,54778,4.435707543229247,50.733121353285206,AS,AMAZON,73.93709635820893,23.203975004923727
194,3457,30940,4.49288661028848,7.081104160232281,AS,AMAZON,18.288635688173116,11.207531527940835
195,55677,30746,4.761290946047829,21.997029745028424,EU,AMAZON,35.94381954964469,13.946789804616262
196,17602,30306,4.791008764664073,15.399767615789473,AS,AMAZON,74.44301851579054,59.04325090000107
197,55276,13358,4.861432366101245,16.341999194544485,EU,AMAZON,36.048223578944196,19.70622438439971
198,1002683,50010,4.899378028059275,21.844061194150875,EU,AMAZON,52.587778121054754,30.74371692690388
199,1002682,22036,5.0443218646789365,2.7069561614045616,OC,AMAZON,27.4733921579021,24.76643599649754
200,1003774,29718,5.100551481386086,23.38894856491333,EU,AMAZON,45.026736724559996,21.637788159646664
201,33622,11210,5.15076925151418,22.40506636491439,EU,AMAZON,19.4492377368421,-2.9558286280722896
202,21782,1003349,5.388117729307869,22.93750033040807,EU,AMAZON,40.63582047017473,17.698320139766658
203,28088,54876,5.532153201421567,25.03902501637439,EU,AMAZON,53.338627175438965,28.299602159064577
204,34435,35695,6.241499277985741,33.956055036840354,EU,AMAZON,56.96489869473895,23.008843657898595
205,16790,12938,6.351558184960683,52.1535403023393,NA,AMAZON,119.47051976490945,67.31697946257015
206,1001615,35695,6.404175248938262,33.956055036840354,EU,AMAZON,56.96489869473895,23.008843657898595
207,1002849,53709,6.477221018056776,17.691496142689125,EU,AMAZON,91.51726050526423,73.82576436257511
208,30626,23635,6.517925297829809,40.747542555554745,EU,AMAZON,40.95442540350211,0.20688284794736234
209,31866,1000793,6.937451466364824,17.563933190306383,EU,AMAZON,18.449926729822103,0.8859935395157201
210,28260,53441,7.496368076458098,14.12108731812667,EU,AMAZON,11.036647375438948,-3.0844399426877214
211,1000879,55675,7.68327320610785,81.16116666431972,EU,AMAZON,83.66511315438105,2.503946490061324
212,35385,34182,7.835118983676561,27.459235369593685,EU,AMAZON,45.08467051930105,17.625435149707364
213,63070,10422,7.870571516004149,36.21017164444315,NA,AMAZON,57.54216790175685,21.331996257313698
214,52413,55675,7.873133393106027,81.16116666431972,EU,AMAZON,83.66511315438105,2.503946490061324
215,1004571,1313,8.245605127572723,18.315857573096842,EU,AMAZON,29.58987503900319,11.274017465906347
216,26320,916,8.293414929600313,29.717876519432863,EU,AMAZON,50.31890797894735,20.601031459514488
217,50081,916,8.497247246023388,29.717876519432863,EU,AMAZON,50.31890797894735,20.601031459514488
218,25993,916,8.508059005959051,29.717876519432863,EU,AMAZON,50.31890797894735,20.601031459514488
219,54532,52004,8.540286381348587,37.8770467953207,EU,AMAZON,61.73900499473894,23.86195819941824
220,53821,2089,8.772882627798975,15.520499215202104,EU,AMAZON,25.68170279824842,10.161203583046316
221,689,1002772,8.880558292878872,15.026523984795086,OC,AMAZON,5.452338340418084,-9.574185644377001
222,1003746,20047,8.958984639379867,17.53326991812807,EU,AMAZON,50.265763868792554,32.732493950664484
223,1002591,61879,9.092362972795897,67.29381827017578,NA,AMAZON,96.11226479649055,28.818446526314773
224,1002421,1002576,9.752756445781143,28.09148086971831,EU,AMAZON,47.813550482270216,19.722069612551905
225,21950,1001622,10.347598461700771,24.23032915964842,EU,AMAZON,36.66252139649368,12.43219223684526
226,51459,33502,10.65780680789285,27.552049938598596,NA,AMAZON,31.563890210527376,4.011840271928779
227,60313,54276,11.254990460287749,56.471241602340704,NA,AMAZON,90.25151056490948,33.780268962568776
228,27989,52898,12.049051468542237,9.662644213612323,OC,AMAZON,39.004864329788305,29.34222011617598
229,61868,51754,12.504599498669911,100.09533023625754,NA,AMAZON,131.56269276842318,31.467362532165637
230,55495,24490,12.644788843825175,16.205142049121402,EU,AMAZON,39.01787398596421,22.812731936842805
231,61689,3054,12.830371012774885,57.62913034751737,OC,AMAZON,50.471848529830524,-7.157281817686844
232,60435,10540,12.970738721761094,29.25781331344982,NA,AMAZON,53.29472771930209,24.03691440585227
233,25262,29211,13.216758329948323,13.608895919888072,EU,AMAZON,62.38485694385684,48.77596102396877
